idx,split
272,train
273,train
274,train
275,test
276,train
277,val
278,train
279,train
280,val
281,train
282,test
283,test
284,train
285,val
286,train
287,train
288,train
289,train
290,train
291,train
292,train
293,val
294,train
295,train
296,train
297,train
298,test
299,val
300,val
301,val
302,train
303,train
304,train
305,train
306,train
307,train
308,train
309,train
310,test
311,train
312,train
313,val
314,test
315,val
316,train
317,train
318,train
319,val
320,test
321,train
322,train
323,train
324,train
325,train
326,test
327,train
328,train
329,train
330,train
331,train
332,test
333,train
334,val
335,train
336,val
337,train
338,test
339,val
340,train
341,train
342,train
343,train
344,test
345,train
346,train
347,train
348,test
349,train
350,train
351,train
352,train
353,train
354,train
355,train
356,test
357,test
358,train
359,train
360,val
361,test
362,val
363,train
364,val
365,train
366,train
367,test
368,train
369,test
370,train
371,train
372,train
373,val
374,test
375,train
376,train
377,test
378,train
379,train
380,val
381,train
382,train
383,train
384,train
385,train
386,train
387,train
388,train
389,val
390,train
391,train
392,train
393,train
394,test
395,train
396,train
397,train
398,train
399,train
400,train
401,train
402,train
403,train
404,test
405,test
406,train
407,val
408,train
409,train
410,train
411,val
412,test
413,train
414,train
415,train
416,train
417,train
418,train
419,train
420,train
421,train
422,val
423,train
424,train
425,test
426,train
427,test
428,test
429,train
430,test
431,train
432,train
433,train
434,val
435,train
436,train
437,test
438,train
439,train
440,train
441,train
442,train
443,train
444,val
445,train
446,train
447,train
448,train
449,train
450,train
451,train
452,train
453,train
454,train
455,val
456,train
457,train
458,train
459,train
460,train
461,train
462,test
463,test
464,train
465,train
466,train
467,train
468,train
469,test
470,val
471,test
472,train
473,test
474,test
475,train
476,train
477,train
478,train
479,train
480,val
481,train
482,train
483,test
484,test
485,test
486,train
487,val
488,train
489,train
490,train
491,train
492,test
493,train
494,val
495,train
496,train
497,train
498,train
499,train
500,train
501,train
502,train
503,train
504,test
505,test
506,test
507,train
508,train
509,test
510,test
511,train
512,val
513,test
514,train
515,train
516,train
517,test
518,train
519,train
520,train
521,val
522,train
523,test
524,train
525,test
526,train
527,val
528,train
529,train
530,train
531,train
532,train
533,train
534,test
535,train
536,train
537,val
538,test
539,train
540,train
541,val
542,test
543,test
544,val
545,train
546,val
547,train
548,val
549,train
550,train
551,train
552,train
553,train
554,train
555,test
556,train
557,train
558,train
559,val
560,train
561,val
562,train
563,train
564,val
565,train
566,train
567,train
568,train
569,val
570,train
571,train
572,train
573,train
574,train
575,val
576,test
577,train
578,val
579,val
580,test
581,train
582,train
583,test
584,test
585,train
586,val
587,train
588,train
589,val
590,train
591,train
592,train
593,test
594,train
595,train
596,train
597,train
598,test
599,train
600,val
601,train
602,test
603,train
604,train
605,train
606,train
607,test
608,train
609,val
610,val
611,test
612,train
613,val
614,train
615,train
616,train
617,train
618,train
619,train
620,train
621,test
622,train
623,val
624,test
625,train
626,train
627,train
628,test
629,train
630,train
631,train
632,val
633,train
634,train
635,test
636,val
637,val
638,train
639,train
640,train
641,val
642,test
643,train
644,train
645,train
646,train
647,train
648,train
649,train
650,train
651,train
652,val
653,test
654,train
655,test
656,train
657,train
658,train
659,train
660,train
661,test
662,train
663,train
664,train
665,train
666,train
667,train
668,train
669,val
670,train
671,val
672,train
673,test
674,train
675,train
676,val
677,train
678,train
679,val
680,val
681,train
682,val
683,train
684,train
685,train
686,train
687,train
688,train
689,train
690,test
691,train
692,train
693,val
694,train
695,train
696,val
697,val
698,train
699,test
700,test
701,train
702,train
703,train
704,train
705,test
706,train
707,val
708,train
709,train
710,train
711,train
712,train
713,train
714,train
715,train
716,train
717,train
718,test
719,train
720,val
721,val
722,train
723,train
724,train
725,train
726,train
727,test
728,train
729,train
730,train
731,train
732,train
733,train
734,train
735,train
736,test
737,train
738,train
739,train
740,test
741,train
742,train
743,train
744,train
745,train
746,train
747,train
748,val
749,train
750,val
751,train
752,train
753,train
754,train
755,train
756,train
757,test
758,train
759,val
760,train
761,train
762,train
763,train
764,test
765,train
766,train
767,train
768,train
769,val
770,test
771,val
772,train
773,train
774,train
775,test
776,train
777,train
778,val
779,test
780,train
781,train
782,train
783,train
784,train
785,train
786,train
787,val
788,val
789,train
790,train
791,test
792,val
793,train
794,train
795,train
796,train
797,train
798,test
799,val
800,train
801,train
802,train
803,train
804,train
805,train
806,train
807,val
808,val
809,test
810,val
811,train
812,test
813,val
814,train
815,train
816,train
817,train
818,train
819,train
820,val
821,train
822,val
823,train
824,train
825,train
826,train
827,train
828,train
829,train
830,val
831,test
832,train
833,test
834,test
835,train
836,train
837,test
838,train
839,train
840,train
841,train
842,val
843,train
844,train
845,train
846,val
847,train
848,train
849,train
850,train
851,train
852,train
853,train
854,train
855,train
856,val
857,train
858,train
859,train
860,train
861,test
862,test
863,train
864,train
865,val
866,test
867,train
868,test
869,train
870,test
871,test
872,train
873,train
874,train
875,train
876,train
877,train
878,val
879,val
880,test
881,train
882,train
883,train
884,train
885,train
886,test
887,train
888,test
889,train
890,train
891,test
892,val
893,train
894,train
895,train
896,val
897,train
898,train
899,val
900,train
901,train
902,val
903,val
904,train
905,val
906,train
907,train
908,train
909,train
910,train
911,train
912,train
913,train
914,train
915,train
916,train
917,train
918,val
919,test
920,val
921,train
922,train
923,train
924,val
925,train
926,train
927,train
928,train
929,test
930,test
931,test
932,train
933,train
934,train
935,train
936,train
937,val
938,val
939,train
940,train
941,train
942,test
943,train
944,val
945,train
946,train
947,train
948,val
949,train
950,test
951,train
952,val
953,train
954,train
955,train
956,train
957,train
958,val
959,train
960,test
961,val
962,val
963,train
964,train
965,train
966,train
967,train
968,train
969,train
970,val
971,val
972,train
973,val
974,train
975,train
976,test
977,train
978,val
979,val
980,train
981,train
982,val
983,test
984,test
985,train
986,val
987,train
988,val
989,train
990,train
991,train
992,val
993,train
994,train
995,train
996,test
997,train
998,test
999,train
1000,test
1001,train
1002,val
1003,train
1004,val
1005,train
1006,train
1007,train
1008,val
1009,train
1010,train
1011,train
1012,train
1013,train
1014,train
1015,test
1016,train
1017,train
1018,val
1019,test
1020,train
1021,train
1022,train
1023,train
1024,train
1025,train
1026,train
1027,test
1028,train
1029,train
1030,val
1031,val
1032,train
1033,val
1034,val
1035,test
1036,train
1037,train
1038,test
1039,train
1040,train
1041,train
1042,train
1043,train
1044,train
1045,train
1046,train
1047,train
1048,train
1049,train
1050,val
1051,test
1052,train
1053,train
1054,train
1055,train
1056,test
1057,train
1058,train
1059,train
1060,test
1061,train
1062,train
1063,train
1064,train
1065,train
1066,val
1067,val
1068,train
1069,test
1070,train
1071,train
1072,train
1073,val
1074,test
1075,train
1076,train
1077,val
1078,train
1079,train
1080,train
1081,test
1082,train
1083,train
1084,train
1085,train
1086,test
1087,test
1088,train
1089,val
1090,train
1091,train
1092,train
1093,train
1094,train
1095,val
1096,train
1097,train
1098,train
1099,test
1100,train
1101,train
1102,train
1103,test
1104,train
1105,test
1106,val
1107,train
1108,train
1109,train
1110,train
1111,train
1112,train
1113,train
1114,train
1115,train
1116,train
1117,train
1118,train
1119,train
1120,train
1121,train
1122,train
1123,train
1124,val
1125,train
1126,test
1127,train
1128,test
1129,train
1130,train
1131,test
1132,train
1133,train
1134,train
1135,val
1136,val
1137,train
1138,val
1139,val
1140,train
1141,train
1142,val
1143,test
1144,train
1145,train
1146,train
1147,test
1148,train
1149,test
1150,train
1151,train
1152,train
1153,train
1154,val
1155,train
1156,val
1157,train
1158,train
1159,train
1160,test
1161,train
1162,test
1163,test
1164,train
1165,train
1166,train
1167,train
1168,train
1169,test
1170,test
1171,train
1172,train
1173,test
1174,train
1175,train
1176,val
1177,test
1178,test
1179,train
1180,train
1181,train
1182,train
1183,train
1184,train
1185,test
1186,train
1187,test
1188,train
1189,train
1190,train
1191,train
1192,train
1193,val
1194,test
1195,train
1196,val
1197,train
1198,test
1199,val
1200,val
1201,train
1202,test
1203,train
1204,train
1205,train
1206,train
1207,test
1208,train
1209,train
1210,test
1211,train
1212,val
1213,train
1214,train
1215,test
1216,train
1217,train
1218,train
1219,train
1220,test
1221,train
1222,train
1223,train
1224,train
1225,train
1226,train
1227,train
1228,train
1229,train
1230,train
1231,val
1232,test
1233,train
1234,train
1235,test
1236,train
1237,test
1238,train
1239,val
1240,val
1241,train
1242,train
1243,test
1244,train
1245,test
1246,train
1247,train
1248,train
1249,test
1250,train
1251,train
1252,val
1253,test
1254,train
1255,val
1256,test
1257,test
1258,train
1259,train
1260,val
1261,val
1262,train
1263,train
1264,train
1265,train
1266,val
1267,train
1268,train
1269,val
1270,train
1271,train
1272,test
1273,val
1274,train
1275,train
1276,val
1277,train
1278,train
1279,val
1280,train
1281,test
1282,train
1283,val
1284,train
1285,val
1286,train
1287,train
1288,train
1289,train
1290,test
1291,train
1292,test
1293,val
1294,test
1295,train
1296,train
1297,train
1298,train
1299,train
1300,train
1301,test
1302,test
1303,train
1304,train
1305,train
1306,train
1307,test
1308,train
1309,val
1310,train
1311,train
1312,train
1313,val
1314,train
1315,train
1316,test
1317,test
1318,test
1319,test
1320,test
1321,train
1322,train
1323,train
1324,test
1325,val
1326,val
1327,train
1328,test
1329,test
1330,train
1331,train
1332,val
1333,test
1334,train
1335,train
1336,train
1337,train
1338,train
1339,val
1340,val
1341,train
1342,val
1343,train
1344,train
1345,train
1346,train
1347,test
1348,test
1349,train
1350,train
1351,test
1352,train
1353,train
1354,train
1355,train
1356,train
1357,train
1358,train
1359,train
1360,train
1361,test
1362,val
1363,train
1364,train
1365,train
1366,train
1367,train
1368,train
1369,train
1370,train
1371,train
1372,train
1373,train
1374,val
1375,val
1376,train
1377,test
1378,val
1379,train
1380,val
1381,train
1382,train
1383,train
1384,val
1385,test
1386,train
1387,train
1388,test
1389,train
1390,train
1391,train
1392,test
1393,val
1394,train
1395,train
1396,train
1397,train
1398,val
1399,test
1400,val
1401,train
1402,train
1403,train
1404,train
1405,train
1406,train
1407,train
1408,train
1409,train
1410,train
1411,train
1412,train
1413,train
1414,test
1415,train
1416,train
1417,train
1418,train
1419,test
1420,val
1421,test
1422,train
1423,train
1424,train
1425,train
1426,train
1427,train
1428,train
1429,train
1430,train
1431,train
1432,train
1433,train
1434,train
1435,val
1436,train
1437,train
1438,val
1439,val
1440,val
1441,val
1442,train
1443,train
1444,train
1445,test
1446,train
1447,val
1448,train
1449,train
1450,train
1451,train
1452,train
1453,val
1454,train
1455,test
1456,test
1457,train
1458,train
1459,train
1460,train
1461,train
1462,train
1463,train
1464,train
1465,train
1466,val
1467,train
1468,train
1469,train
1470,val
1471,train
1472,train
1473,train
1474,train
1475,train
1476,train
1477,train
1478,val
1479,val
1480,train
1481,train
1482,test
1483,train
1484,train
1485,train
1486,train
1487,train
1488,train
1489,train
1490,train
1491,train
1492,train
1493,train
1494,train
1495,train
1496,test
1497,train
1498,train
1499,train
1500,train
1501,val
1502,train
1503,train
1504,train
1505,train
1506,train
1507,train
1508,val
1509,train
1510,val
1511,train
1512,train
1513,train
1514,train
1515,train
1516,val
1517,train
1518,train
1519,train
1520,train
1521,train
1522,test
1523,train
1524,train
1525,test
1526,test
1527,test
1528,test
1529,train
1530,val
1531,train
1532,train
1533,train
1534,val
1535,train
1536,train
1537,train
1538,train
1539,test
1540,train
1541,test
1542,train
1543,test
1544,test
1545,train
1546,train
1547,val
1548,test
1549,train
1550,train
1551,val
1552,test
1553,test
1554,train
1555,train
1556,train
1557,train
1558,train
1559,train
1560,train
1561,val
1562,train
1563,train
1564,train
1565,test
1566,train
1567,train
1568,val
1569,test
1570,train
1571,train
1572,train
1573,train
1574,train
1575,train
1576,train
1577,train
1578,train
1579,train
1580,train
1581,train
1582,test
1583,train
1584,train
1585,train
1586,train
1587,train
1588,train
1589,val
1590,train
1591,train
1592,train
1593,train
1594,val
1595,train
1596,train
1597,train
1598,train
1599,train
1600,test
1601,train
1602,test
1603,train
1604,train
1605,train
1606,train
1607,train
1608,train
1609,train
1610,val
1611,train
1612,train
1613,train
1614,train
1615,train
1616,val
1617,val
1618,train
1619,train
1620,train
1621,train
1622,train
1623,train
1624,val
1625,train
1626,train
1627,val
1628,train
1629,test
1630,train
1631,train
1632,val
1633,val
1634,val
1635,test
1636,train
1637,train
1638,train
1639,train
1640,train
1641,test
1642,train
1643,train
1644,train
1645,train
1646,test
1647,train
1648,val
1649,train
1650,train
1651,train
1652,train
1653,train
1654,val
1655,val
1656,train
1657,val
1658,train
1659,train
1660,train
1661,train
1662,train
1663,train
1664,val
1665,train
1666,train
1667,train
1668,val
1669,test
1670,train
1671,test
1672,train
1673,train
1674,test
1675,train
1676,train
1677,test
1678,train
1679,test
1680,train
1681,train
1682,test
1683,train
1684,train
1685,test
1686,train
1687,train
1688,train
1689,val
1690,test
1691,train
1692,test
1693,train
1694,train
1695,train
1696,val
1697,train
1698,train
1699,train
1700,train
1701,train
1702,train
1703,train
1704,train
1705,train
1706,test
1707,val
1708,train
1709,train
1710,train
1711,test
1712,train
1713,train
1714,val
1715,test
1716,train
1717,train
1718,train
1719,test
1720,train
1721,train
1722,train
1723,val
1724,train
1725,train
1726,train
1727,test
1728,val
1729,val
1730,val
1731,train
1732,train
1733,train
1734,train
1735,train
1736,train
1737,train
1738,train
1739,train
1740,test
1741,train
1742,train
1743,train
1744,train
1745,test
1746,train
1747,test
1748,train
1749,train
1750,test
1751,val
1752,train
1753,train
1754,test
1755,train
1756,train
1757,train
1758,train
1759,train
1760,train
1761,train
1762,train
1763,train
1764,train
1765,val
1766,val
1767,train
1768,train
1769,train
1770,train
1771,train
1772,test
1773,train
1774,val
1775,train
1776,train
1777,train
1778,val
1779,train
1780,train
1781,train
1782,val
1783,train
1784,train
1785,test
1786,train
1787,train
1788,train
1789,test
1790,train
1791,train
1792,test
1793,test
1794,train
1795,train
1796,train
1797,train
1798,val
1799,test
1800,train
1801,train
1802,train
1803,train
1804,test
1805,train
1806,train
1807,train
1808,train
1809,test
1810,test
1811,test
1812,test
1813,test
1814,test
1815,val
1816,train
1817,train
1818,train
1819,train
1820,train
1821,train
1822,train
1823,train
1824,train
1825,val
1826,train
1827,train
1828,test
1829,train
1830,val
1831,train
1832,train
1833,train
1834,train
1835,train
1836,train
1837,train
1838,train
1839,test
1840,val
1841,train
1842,train
1843,train
1844,train
1845,train
1846,train
1847,train
1848,test
1849,train
1850,train
1851,train
1852,test
1853,val
1854,val
1855,test
1856,train
1857,train
1858,val
1859,train
1860,train
1861,train
1862,train
1863,train
1864,train
1865,train
1866,train
1867,train
1868,train
1869,train
1870,train
1871,train
1872,train
1873,val
1874,train
1875,train
1876,train
1877,train
1878,test
1879,val
1880,train
1881,val
1882,train
1883,test
1884,train
1885,train
1886,train
1887,train
1888,train
1889,train
1890,train
1891,test
1892,train
1893,train
1894,train
1895,train
1896,train
1897,test
1898,train
1899,train
1900,train
1901,train
1902,val
1903,test
1904,train
1905,train
1906,train
1907,train
1908,train
1909,train
1910,train
1911,train
1912,train
1913,train
1914,train
1915,val
1916,test
1917,train
1918,train
1919,train
1920,train
1921,test
1922,train
1923,train
1924,test
1925,test
1926,test
1927,train
1928,train
1929,train
1930,train
1931,val
1932,train
1933,train
1934,test
1935,train
1936,train
1937,train
1938,train
1939,train
1940,train
1941,train
1942,test
1943,train
1944,val
1945,train
1946,val
1947,train
1948,train
1949,train
1950,train
1951,train
1952,train
1953,val
1954,test
1955,test
1956,val
1957,test
1958,train
1959,val
1960,train
1961,train
1962,train
1963,train
1964,train
1965,train
1966,train
1967,train
1968,train
1969,train
1970,val
1971,train
1972,train
1973,train
1974,val
1975,val
1976,train
1977,val
1978,train
1979,train
1980,train
1981,train
1982,val
1983,train
1984,train
1985,train
1986,train
1987,train
1988,train
1989,test
1990,train
1991,train
1992,train
1993,train
1994,train
1995,train
1996,train
1997,val
1998,train
1999,train
2000,train
2001,train
2002,train
2003,val
2004,test
2005,val
2006,test
2007,train
2008,train
2009,train
2010,train
2011,test
2012,test
2013,train
2014,val
2015,train
2016,test
2017,test
2018,train
2019,train
2020,train
2021,train
2022,train
2023,train
2024,train
2025,train
2026,train
2027,test
2028,val
2029,train
2030,test
2031,train
2032,train
2033,train
2034,test
2035,train
2036,val
2037,val
2038,train
2039,train
2040,train
2041,train
2042,val
2043,test
2044,test
2045,val
2046,val
2047,train
2048,train
2049,train
2050,val
2051,train
2052,val
2053,test
2054,val
2055,train
2056,train
2057,train
2058,test
2059,train
2060,train
2061,train
2062,train
2063,train
2064,val
2065,train
2066,test
2067,train
2068,train
2069,test
2070,train
2071,train
2072,train
2073,test
2074,val
2075,train
2076,train
2077,test
2078,val
2079,test
2080,test
2081,train
2082,val
2083,test
2084,train
2085,train
2086,train
2087,train
2088,train
2089,train
2090,train
2091,train
2092,train
2093,test
2094,train
2095,test
2096,train
2097,train
2098,train
2099,train
2100,val
2101,test
2102,train
2103,train
2104,train
2105,train
2106,train
2107,test
2108,val
2109,test
2110,train
2111,train
2112,test
2113,train
2114,test
2115,train
2116,test
2117,train
2118,train
2119,train
2120,train
2121,train
2122,train
2123,train
2124,train
2125,train
2126,train
2127,train
2128,train
2129,test
2130,test
2131,train
2132,test
2133,train
2134,val
2135,train
2136,train
2137,train
2138,train
2139,train
2140,train
2141,train
2142,train
2143,train
2144,val
2145,train
2146,train
2147,train
2148,train
2149,train
2150,test
2151,test
2152,train
2153,test
2154,test
2155,train
2156,test
2157,train
2158,val
2159,train
2160,train
2161,train
2162,train
2163,train
2164,train
2165,train
2166,train
2167,train
2168,train
2169,train
2170,train
2171,test
2172,train
2173,train
2174,train
2175,train
2176,val
2177,val
2178,train
2179,train
2180,train
2181,test
2182,train
2183,val
2184,train
2185,train
2186,train
2187,val
2188,val
2189,train
2190,val
2191,val
2192,train
2193,train
2194,train
2195,train
2196,val
2197,val
2198,train
2199,train
2200,train
2201,test
2202,train
2203,test
2204,test
2205,train
2206,train
2207,train
2208,train
2209,val
2210,train
2211,train
2212,train
2213,train
2214,train
2215,train
2216,train
2217,train
2218,val
2219,train
2220,val
2221,train
2222,train
2223,train
2224,test
2225,train
2226,val
2227,test
2228,train
2229,val
2230,val
2231,train
2232,train
2233,val
2234,train
2235,test
2236,val
2237,test
2238,train
2239,train
2240,train
2241,test
2242,train
2243,test
2244,train
2245,val
2246,train
2247,train
2248,train
2249,train
2250,test
2251,train
2252,train
2253,train
2254,test
2255,train
2256,train
2257,train
2258,test
2259,train
2260,train
2261,test
2262,train
2263,train
2264,train
2265,train
2266,train
2267,train
2268,train
2269,val
2270,train
2271,train
2272,train
2273,train
2274,test
2275,train
2276,train
2277,train
2278,val
2279,train
2280,val
2281,train
2282,val
2283,train
2284,train
2285,train
2286,train
2287,train
2288,test
2289,test
2290,train
2291,train
2292,train
2293,train
2294,train
2295,test
2296,test
2297,val
2298,train
2299,train
2300,test
2301,val
2302,train
2303,train
2304,val
2305,test
2306,test
2307,train
2308,train
2309,test
2310,train
2311,train
2312,train
2313,train
2314,test
2315,train
2316,train
2317,train
2318,train
2319,train
2320,train
2321,train
2322,test
2323,train
2324,train
2325,train
2326,train
2327,train
2328,train
2329,train
2330,train
2331,train
2332,train
2333,test
2334,train
2335,train
2336,train
2337,train
2338,val
2339,train
2340,train
2341,train
2342,train
2343,train
2344,train
2345,train
2346,train
2347,train
2348,train
2349,train
2350,train
2351,train
2352,train
2353,train
2354,test
2355,train
2356,train
2357,train
2358,test
2359,train
2360,train
2361,train
2362,train
2363,val
2364,test
2365,val
2366,test
2367,train
2368,train
2369,train
2370,train
2371,train
2372,test
2373,train
2374,train
2375,val
2376,val
2377,train
2378,train
2379,test
2380,val
2381,train
2382,train
2383,train
2384,train
2385,train
2386,train
2387,train
2388,test
2389,train
2390,val
2391,train
2392,train
2393,val
2394,train
2395,train
2396,train
2397,train
2398,train
2399,train
2400,train
2401,test
2402,train
2403,val
2404,train
2405,train
2406,train
2407,train
2408,train
2409,test
2410,train
2411,train
2412,train
2413,val
2414,train
2415,train
2416,val
2417,train
2418,test
2419,train
2420,test
2421,val
2422,train
2423,train
2424,train
2425,train
2426,train
2427,train
2428,test
2429,test
2430,train
2431,val
2432,test
2433,val
2434,train
2435,train
2436,train
2437,train
2438,train
2439,train
2440,train
2441,train
2442,test
2443,train
2444,test
2445,val
2446,train
2447,train
2448,train
2449,train
2450,val
2451,test
2452,train
2453,val
2454,train
2455,train
2456,train
2457,train
2458,test
2459,train
2460,train
2461,train
2462,val
2463,train
2464,train
2465,train
2466,train
2467,val
2468,train
2469,train
2470,train
2471,test
2472,train
2473,train
2474,test
2475,train
2476,train
2477,train
2478,test
2479,train
2480,train
2481,test
2482,train
2483,train
2484,train
2485,train
2486,train
2487,train
2488,val
2489,train
2490,train
2491,test
2492,test
2493,val
2494,train
2495,val
2496,train
2497,train
2498,test
2499,train
2500,test
2501,test
2502,train
2503,train
2504,train
2505,train
2506,train
2507,train
2508,train
2509,train
2510,train
2511,train
2512,train
2513,train
2514,train
2515,val
2516,test
2517,train
2518,val
2519,test
2520,train
2521,train
2522,train
2523,val
2524,test
2525,train
2526,train
2527,train
2528,train
2529,train
2530,val
2531,train
2532,train
2533,train
2534,val
2535,train
2536,train
2537,train
2538,train
2539,train
2540,val
2541,test
2542,val
2543,train
2544,train
2545,val
2546,train
2547,train
2548,test
2549,train
2550,train
2551,val
2552,train
2553,train
2554,train
2555,train
2556,train
2557,train
2558,train
2559,val
2560,train
2561,train
2562,train
2563,train
2564,val
2565,train
2566,train
2567,train
2568,val
2569,test
2570,train
2571,train
2572,val
2573,train
2574,val
2575,train
2576,train
2577,train
2578,val
2579,train
2580,train
2581,train
2582,test
2583,val
2584,train
2585,val
2586,test
2587,train
2588,val
2589,train
2590,val
2591,test
2592,train
2593,train
2594,train
2595,train
2596,train
2597,test
2598,train
2599,train
2600,test
2601,train
2602,train
2603,val
2604,val
2605,train
2606,train
2607,train
2608,train
2609,train
2610,val
2611,train
2612,test
2613,train
2614,train
2615,train
2616,train
2617,val
2618,train
2619,train
2620,train
2621,train
2622,train
2623,val
2624,train
2625,train
2626,train
2627,test
2628,train
2629,test
2630,train
2631,test
2632,train
2633,train
2634,train
2635,train
2636,val
2637,train
2638,train
2639,train
2640,train
2641,train
2642,train
2643,train
2644,train
2645,test
2646,train
2647,val
2648,train
2649,val
2650,train
2651,train
2652,train
2653,train
2654,train
2655,val
2656,train
2657,train
2658,test
2659,train
2660,test
2661,test
2662,train
2663,val
2664,train
2665,train
2666,val
2667,train
2668,val
2669,train
2670,train
2671,train
2672,train
2673,train
2674,train
2675,test
2676,train
2677,val
2678,train
2679,train
2680,train
2681,val
2682,train
2683,train
2684,train
2685,val
2686,val
2687,train
2688,val
2689,train
2690,train
2691,test
2692,train
2693,train
2694,val
2695,train
2696,train
2697,train
2698,train
2699,train
2700,val
2701,train
2702,train
2703,train
2704,val
2705,train
2706,train
2707,train
2708,train
2709,test
2710,test
2711,train
2712,train
2713,train
2714,train
2715,train
2716,train
2717,train
2718,train
2719,val
2720,train
2721,train
2722,test
2723,train
2724,train
2725,train
2726,train
2727,train
2728,test
2729,train
2730,val
2731,train
2732,train
2733,train
2734,train
2735,train
2736,train
2737,train
2738,train
2739,train
2740,train
2741,train
2742,train
2743,train
2744,train
2745,val
2746,train
2747,train
2748,train
2749,test
2750,train
2751,train
2752,train
2753,train
2754,train
2755,train
2756,test
2757,val
2758,train
2759,test
2760,val
2761,val
2762,train
2763,train
2764,train
2765,train
2766,train
2767,train
2768,train
2769,train
2770,train
2771,train
2772,test
2773,train
2774,train
2775,train
2776,test
2777,train
2778,train
2779,train
2780,train
2781,train
2782,train
2783,train
2784,train
2785,train
2786,val
2787,val
2788,train
2789,train
2790,train
2791,val
2792,train
2793,test
2794,train
2795,val
2796,train
2797,test
2798,train
2799,test
2800,train
2801,train
2802,train
2803,train
2804,train
2805,train
2806,train
2807,train
2808,train
2809,train
2810,train
2811,val
2812,train
2813,val
2814,train
2815,test
2816,train
2817,train
2818,val
2819,test
2820,train
2821,test
2822,val
2823,train
2824,val
2825,train
2826,train
2827,train
2828,val
2829,train
2830,train
2831,test
2832,train
2833,train
2834,val
2835,train
2836,train
2837,train
2838,train
2839,train
2840,train
2841,val
2842,train
2843,train
2844,train
2845,test
2846,train
2847,val
2848,train
2849,test
2850,train
2851,train
2852,train
2853,train
2854,test
2855,train
2856,train
2857,train
2858,train
2859,test
2860,test
2861,val
2862,test
2863,train
2864,train
2865,val
2866,val
2867,val
2868,test
2869,test
2870,train
2871,test
2872,test
2873,train
2874,train
2875,val
2876,train
2877,val
2878,test
2879,train
2880,val
2881,train
2882,train
2883,train
2884,train
2885,train
2886,train
2887,train
2888,train
2889,train
2890,test
2891,train
2892,train
2893,train
2894,train
2895,train
2896,train
2897,train
2898,val
2899,train
2900,train
2901,train
2902,train
2903,train
2904,val
2905,train
2906,test
2907,train
2908,train
2909,test
2910,train
2911,val
2912,train
2913,test
2914,train
2915,train
2916,train
2917,train
2918,train
2919,val
2920,train
2921,test
2922,train
2923,train
2924,train
2925,test
2926,train
2927,test
2928,train
2929,train
2930,train
2931,test
2932,train
2933,train
2934,train
2935,train
2936,train
2937,train
2938,val
2939,val
2940,val
2941,train
2942,test
2943,train
2944,train
2945,train
2946,train
2947,test
2948,test
2949,train
2950,train
2951,train
2952,train
2953,train
2954,train
2955,test
2956,train
2957,val
2958,train
2959,test
2960,test
2961,train
2962,train
2963,train
2964,test
2965,train
2966,train
2967,test
2968,train
2969,train
2970,train
2971,test
2972,train
2973,train
2974,train
2975,train
2976,train
2977,train
2978,train
2979,train
2980,train
2981,train
2982,train
2983,train
2984,train
2985,train
2986,train
2987,val
2988,train
2989,test
2990,train
2991,val
2992,train
2993,train
2994,train
2995,test
2996,test
2997,train
